Trat	Rep	Y
AC64_d1	1	17.03
AC64_d1	2	13.04
AC64_d1	3	14.83
AC64_d1	4	17.89
AC64_d2	1	13.78
AC64_d2	2	14.49
AC64_d2	3	11.83
AC64_d2	4	12.65
AC92_d1	1	6.32
AC92_d1	2	4.47
AC92_d1	3	3.16
AC92_d1	4	6.32
AC92_d2	1	3.16
AC92_d2	2	7.75
AC92_d2	3	4.47
AC92_d2	4	3.16
Testemunha	1	16.12
Testemunha	2	16.12
Testemunha	3	15.49
Testemunha	4	18.71
