TRAT	REP	Y
1_ST	1	25.6
1_ST	2	25.48
1_ST	3	25.06
1_ST	4	20.58
1_ST	5	19.02
2_AC	1	27.2
2_AC	2	21.57
2_AC	3	23.61
2_AC	4	24.89
2_AC	5	20.27
3_AP	1	25.36
3_AP	2	31.07
3_AP	3	27.3
3_AP	4	18.93
3_AP	5	18.09
4_PM	1	17.97
4_PM	2	19.07
4_PM	3	15.94
4_PM	4	16.46
4_PM	5	16.44
5_T	1	18.92
5_T	2	16.07
5_T	3	14.5
5_T	4	20.17
5_T	5	22.27
