Trat	Bloco	Y
CB_41_70	1	131.1
CB_41_76	1	140.6
CB_40_19	1	131.7
Co_419	1	112.9
Co_421	1	117.9
CB_41_70	2	140.2
CB_41_76	2	150.8
CB_40_19	2	145
Co_419	2	122
Co_421	2	129.8
CB_41_70	3	141.9
CB_41_76	3	148.5
CB_40_19	3	137.6
Co_419	3	122.6
Co_421	3	132.8
CB_41_70	4	NA
CB_41_76	4	141.3
CB_40_19	4	143.7
Co_419	4	107.5
Co_421	4	116
CB_41_70	5	143.7
CB_41_76	5	151.8
CB_40_19	5	152.2
Co_419	5	133.8
Co_421	5	148.4
CB_41_70	6	146.5
CB_41_76	6	156.2
CB_40_19	6	154.9
Co_419	6	141
Co_421	6	157.1
